Item Name,Item URL,Item Price,Rating,Number of Reviews
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,https://www.amazon.in/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74/ref=sr_1_152?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-152,990,4.4 out of 5 stars,"2,419"
"SPENZ BAGS Travel Laptop Backpack for Women & Men | Fits15.6 Inch Laptop | Flight Approved Carry On Bag, College & School Students Bookbag With Raincover",https://www.amazon.in/SPENZ-BAGS-Backpack-Raincover-Brown/dp/B0C3RN6QSC/ref=sr_1_153?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-153,849,5.0 out of 5 stars,24
Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue,https://www.amazon.in/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV/ref=sr_1_154?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-154,420,3.9 out of 5 stars,"2,603"
"POLESTAR Enzo 15.6 inch 35 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",https://www.amazon.in/Polestar-Liters-Polyester-Casual-Backpack/dp/B09243WY6M/ref=sr_1_155?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-155,619,4.2 out of 5 stars,"3,870"
"Foldable Travel Duffel Bag,Sport Totes,Shoulder Shopping Bag,Luggage Bag,2 Pack (Pink+Blue)",https://www.amazon.in/Foldable-Travel-Shoulder-Shopping-Luggage/dp/B07VCRL9H3/ref=sr_1_156?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-156,399,3.8 out of 5 stars,495
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),https://www.amazon.in/DZert-Fabric-Multicolour-Spiderman-Printed/dp/B07BNS3KNX/ref=sr_1_157?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-157,239,3.8 out of 5 stars,"1,446"
PLAYY BAGS Large 35 L Laptop Bag/Backpack for Men Women Boys Girls Office School College Teens & Students Navy Blue,https://www.amazon.in/PLAYY-BAGS-Backpack-College-Students/dp/B099N8JRVJ/ref=sr_1_158?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-158,599,3.4 out of 5 stars,123
Lify Women's Retro Large Size Canvas Shoulder Bag Hobo Crossbody Handbag Casual Tote - 1 Piece,https://www.amazon.in/Lify-Womens-Shoulder-Crossbody-Handbag/dp/B09JWMW646/ref=sr_1_159?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-159,320,3.8 out of 5 stars,"1,491"
"Lunar's 35 L Laptop Office/School/Travel/Business Backpack Water Proof - Fits Up to 15.6 Inch Laptop Notebook, With Raincover, Inside Organiser and 1 Year Warranty (All)",https://www.amazon.in/Lunars-Router-Resistant-Raincover-Organiser/dp/B08YR63B9M/ref=sr_1_160?crid=2M096C61O4MLT&keywords=bags&qid=1685030924&sprefix=ba%2Caps%2C283&sr=8-160,849,3.8 out of 5 stars,"1,085"
Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue,https://www.amazon.in/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV/ref=sr_1_161?crid=2M096C61O4MLT&keywords=bags&qid=1685030930&sprefix=ba%2Caps%2C283&sr=8-161,420,3.9 out of 5 stars,"2,603"
Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,https://www.amazon.in/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP/ref=sr_1_162?crid=2M096C61O4MLT&keywords=bags&qid=1685030930&sprefix=ba%2Caps%2C283&sr=8-162,279,3.6 out of 5 stars,"7,776"
"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag",https://www.amazon.in/F-Gear-Blow-Laptop-Backpack/dp/B078J63VRY/ref=sr_1_163?crid=2M096C61O4MLT&keywords=bags&qid=1685030930&sprefix=ba%2Caps%2C283&sr=8-163,"1,099",4.3 out of 5 stars,"1,276"
ASTRID Women's Round Sling Bag with Pompoms (Brown),https://www.amazon.in/ASTRID-Womens-Round-Sling-Pompoms/dp/B08VS8JBNK/ref=sr_1_164?crid=2M096C61O4MLT&keywords=bags&qid=1685030930&sprefix=ba%2Caps%2C283&sr=8-164,499,4.4 out of 5 stars,429
"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",https://www.amazon.in/Red-Lemon-Backpack-Accessories-Organiser/dp/B0C2KRH268/ref=sr_1_165?crid=2M096C61O4MLT&keywords=bags&qid=1685030930&sprefix=ba%2Caps%2C283&sr=8-165,"1,899",4.4 out of 5 stars,894
American Tourister SPIN LAPTOP BACKPACK 28L POLYESTER TEAL,https://www.amazon.in/American-Tourister-LAPTOP-BACKPACK-POLYESTER/dp/B0BLCC945Z/ref=sr_1_166?crid=2M096C61O4MLT&keywords=bags&qid=1685030930&sprefix=ba%2Caps%2C283&sr=8-166,"1,399",4.1 out of 5 stars,18
Gear Turbo 45L Expandable Water Resistant Antitheft Laptop Bag/Backpack/Briefcase for Men/Women with RainCover (Grey),https://www.amazon.in/Gear-Expandable-RainCover-Grey-Black-TLPTURBO00401/dp/B097KDRZ67/ref=sr_1_167?crid=2M096C61O4MLT&keywords=bags&qid=1685030930&sprefix=ba%2Caps%2C283&sr=8-167,"1,795",4.4 out of 5 stars,932
"BEAUTY GIRLS 1531 Polyester Waterproof 30 L Floral Printed School, College Tuition Laptop Backpack Bag for Girls & Women",https://www.amazon.in/BEAUTY-GIRLS-1531-Pink-Waterproof-Backpack/dp/B08YR3JJ64/ref=sr_1_168?crid=2M096C61O4MLT&keywords=bags&qid=1685030930&sprefix=ba%2Caps%2C283&sr=8-168,849,4.2 out of 5 stars,"1,469"
